Marker	Fig_lab	engraft	tUniq	rUniq	Treatment	Remission
BKODAF_1769025	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1769035	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1769055	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1772895	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1772965	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1772980	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1773005	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1773035	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1780365	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1780370	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1780465	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1806745	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1806780	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1834935	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1843030	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1848335	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1865115	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1869595	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1869625	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1869630	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1869755	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1870555	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1875915	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1893985	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1923335	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1928000	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1928010	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1928015	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1928025	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1928030	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1928040	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1928045	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1928050	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1928055	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1929220	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1959035	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1972220	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1975955	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1986580	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1986620	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1986625	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1986630	*pt10	1	FMT	F-Res	FMT	Res
