#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/software/miniconda3/envs/metaphlan4/bin/metaphlan -t marker_ab_table /datastore/shekas3/UCFMT1/results/Metaphlan4/DonorB_P12.mp.bowtie2out --bowtie2db /dataone/common/ref_dbs/metaphlan4/ --nreads 16986697 --input_type bowtie2out --nproc 30 -o /datastore/shekas3/UCFMT1/results/StrainPhlan4/DonorB_P12.marker_abund_norm.txt
#SampleID	Metaphlan_Analysis
SGB1585__OKCOKMBF_00908	4.7131479494126574e-08
SGB1814__FJJNDEGG_01071	4.836870524962397e-08
SGB1836__KNKOIOHC_01867	2.457502866174534e-07
SGB1836__HKDIFKNE_00468	1.0390883027178528e-07
SGB1836__MKJNHGPF_03006	5.6763613221631415e-08
SGB1836__FLMILMIF_00859	1.6531716170791827e-07
SGB1836__CMAGOPOP_02386	1.8220187378739187e-07
SGB1842__NDLLBMOL_02016	1.874767650354886e-08
SGB1842__CHAKCKCE_01673	3.845046114765903e-08
SGB1842__DIMENLIE_00910	2.8295824888461494e-07
SGB1842__AFKHPPAP_00531	1.2237717308972837e-07
SGB1858__NALIFAIK_03467	2.198184382593511e-08
SGB1858__IBDBJCDL_01763	7.760801548417182e-08
SGB1858__CIKHFELK_01657	2.469257724233681e-08
SGB1877__HHHKBAGL_00142	2.2459873908328245e-08
SGB1877__ENNCGNIJ_01896	4.204668030781425e-08
SGB1871__LGGNFDHH_04008	3.402668321709657e-08
SGB1861__IPNHLPGB_02323	3.3063432341583653e-07
SGB1861__JOCLKFJF_04143	8.052184509763103e-08
SGB1867__CFFCMLJD_02825	5.14099627124291e-08
SGB1941__NCPNCACP_00073	9.31332211711262e-08
SGB1941__NCPNCACP_03952	4.66441270735986e-08
SGB1941__LGFNAECF_00351	1.8220187378739187e-07
SGB1934__BIODBMOI_01724	7.413364431772424e-08
SGB1934__KBBDBHBB_00898	7.037184094767202e-08
SGB1934__AONJALBI_03706	5.4683545506004836e-08
SGB1934__DKDJBMNH_05041	2.0706122594632375e-08
SGB1934__LHECDLDL_01172	5.48363568000606e-08
SGB1934__CNCEHGAH_00290	1.3547240355129302e-07
SGB2303__CEIMGJEJ_00710	2.9257775018325006e-08
SGB2290__JPNDLNJK_00154	7.195884243487271e-08
SGB2290__NPIGNMCG_01749	1.0859526761742266e-07
SGB2290__FGFBLCPK_01221	1.3376385123626162e-07
SGB2325__OJCKLDFM_00318	8.085361988623792e-08
SGB4194__OKICDPPJ_01722	9.463797467333131e-08
SGB4553__MFDBPIJI_02220	4.7091874537174784e-08
SGB4557__FHPNDDHK_00433	4.8249775650400604e-08
SGB4706__IOJMLGNN_01368	4.7091874537174784e-08
SGB4699__OEDFKEHE_00697	7.091860013648388e-08
SGB4716__BKELBDFK_01592	4.442649978347941e-08
SGB4716__EEFICBKB_00419	6.79708263973911e-08
SGB4705__PMJNACDB_02132	5.1545003217870275e-08
SGB4705__FLBOCIBI_01351	6.13799801219854e-08
SGB4767__CMBKECJB_01079	5.186517971758211e-08
SGB4767__KODAJIOO_01377	3.229091452179471e-08
SGB4767__AAMPOJBM_00157	8.097044022555532e-08
SGB4767__FAEMGAPI_00583	1.1362572833275175e-07
SGB4767__ENLOMKOJ_01480	5.7936760328670046e-08
SGB4741__HBKCODHB_00264	1.7622964770884969e-07
SGB4867__EINHBKOC_01680	9.84358337287319e-08
SGB4867__MBOLAKEN_01310	8.290313859119986e-08
SGB4867__AFOKKOHH_00690	5.2230988848047285e-08
SGB4867__OJLAHAEB_01705	1.228751433087267e-07
SGB4867__EHLAIKOH_00912	3.569799470236632e-08
SGB4867__EHLAIKOH_00944	8.152543970084934e-08
SGB4826__AGLBMOGK_01460	8.6885921020059e-08
SGB4826__BHKPABHO_01829	1.1495701737635083e-07
SGB4826__APNBPHCC_00049	4.133807862138506e-08
SGB4826__FIPPPGMI_00534	1.3785161420339375e-07
SGB4826__AONPIIGD_00174	9.182578432479915e-08
SGB4826__JGAPJKLC_01341	2.036654590172222e-07
SGB4826__DHIOHCOE_00701	5.3290105832867135e-08
SGB4826__NFFDMHML_00114	1.1287420876026215e-07
SGB4826__BAHPAOGO_00790	6.13799801219854e-08
SGB4826__IKHDMGHO_01604	1.0859526761742266e-07
SGB4826__NLHBFPGI_00946	1.45680424977106e-07
SGB4826__FCKHCNED_01335	7.357771212974988e-08
