#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/software/miniconda3/envs/metaphlan4/bin/metaphlan -t marker_ab_table /datastore/shekas3/UCFMT1/results/Metaphlan4/PMCL824.mp.bowtie2out --bowtie2db /dataone/common/ref_dbs/metaphlan4/ --nreads 8094416 --input_type bowtie2out --nproc 30 -o /datastore/shekas3/UCFMT1/results/StrainPhlan4/PMCL824.marker_abund_norm.txt
#SampleID	Metaphlan_Analysis
SGB748__GPEDKBCG_00285	5.81403967869345e-07
SGB748__DDDCMHMK_00561	2.5499723144119014e-07
SGB748__ANIIBPOE_00216	3.743882590263549e-07
SGB748__HDGGHMAB_00054	1.240463172291594e-07
SGB748__NNDLLDKN_00887	3.0171403828118905e-07
SGB748__PDNMDBAG_00074	3.581268329353228e-07
SGB748__GCMNKJGF_00020	5.28031433216982e-07
SGB748__GENHCKPN_00662	6.590062438703132e-07
SGB748__MKKDEEGB_00829	1.1584226402272791e-07
SGB748__PIANHICL_00581	4.1598926199596604e-07
SGB748__OLEFHGPK_00734	2.7005651502801295e-07
SGB748__ANIIBPOE_00834	2.76400592057531e-07
SGB748__OLEFHGPK_00654	6.28764967305785e-07
SGB748__OCBPHDKH_00857	8.448264989334e-07
SGB748__IFDKOHKB_00172	2.7828895477692197e-07
SGB748__NJEOLIBM_00474	7.088159989799866e-08
SGB748__PDNMDBAG_00201	2.1505490589114257e-07
SGB748__NNDLLDKN_00306	1.3502825751400647e-07
SGB748__PGOGOAEK_00448	2.941705955597448e-07
SGB748__EKGBHJFP_00930	4.680203717071193e-07
SGB748__NJEOLIBM_00532	1.6309878757269776e-07
SGB748__KJMHPPCA_00634	2.0591457046508216e-07
SGB748__AJCNALEO_00546	5.084490784116822e-07
SGB748__MJIGGJNB_00272	3.9037857817352275e-07
SGB748__NNDLLDKN_00639	9.153490125714404e-07
SGB748__OAGILDGD_01598	2.2753122376370525e-07
SGB748__GPEDKBCG_00594	5.068730585874037e-07
SGB748__MGCMNILL_00647	2.76400592057531e-07
SGB748__PLAGBOLP_00331	2.90027027260487e-07
SGB748__CLHGLKHF_00350	3.348319507962761e-07
SGB748__MGCMNILL_00435	3.9792292612817915e-07
SGB748__ANIIBPOE_01346	4.501158040498672e-07
SGB748__FDIODJCI_00871	5.02270352023105e-07
SGB748__INENEOID_01276	3.744069507859666e-07
SGB748__PLAGBOLP_00563	2.674449812712733e-07
SGB748__HGGNAAJF_01121	2.3874362111945704e-07
SGB748__HLOMACAE_00595	4.36577905942272e-07
SGB748__PIANHICL_00635	3.744069507859666e-07
SGB748__MKGPMEIG_00006	9.80748186242431e-07
SGB748__INENEOID_01122	1.7231190396055083e-07
SGB748__MKGPMEIG_01222	8.30786215293232e-07
SGB748__MKGPMEIG_00265	1.3458695702114744e-07
SGB748__MKKDEEGB_00032	3.596908555867341e-07
SGB748__MGCMNILL_01284	4.245908839093598e-07
SGB748__HKFPEFAK_00426	4.4886231557798415e-07
SGB748__AJCNALEO_01030	2.820804835400857e-07
SGB748__GENHCKPN_00119	5.80054054520974e-07
SGB748__PDNMDBAG_01225	2.90027027260487e-07
SGB748__DDDCMHMK_00517	7.162536658706456e-07
SGB748__FDIODJCI_00980	4.2679108708059153e-07
SGB748__MJIGGJNB_00550	3.581268329353228e-07
SGB746__DPHGFAHH_00953	1.6809183142439592e-07
SGB746__CFNBJNPK_00471	4.038188491143659e-07
SGB746__CFNBJNPK_00067	9.16165935437903e-08
SGB746__GGDNAJOD_01198	1.8344172508481602e-07
SGB746__DPHGFAHH_01732	3.2049939718654543e-07
SGB988__APGGGDBO_00078	6.578494424581265e-08
