#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/software/miniconda3/envs/metaphlan4/bin/metaphlan -t marker_ab_table /datastore/shekas3/UCFMT1/results/Metaphlan4/PMCL796.mp.bowtie2out --bowtie2db /dataone/common/ref_dbs/metaphlan4/ --nreads 12749124 --input_type bowtie2out --nproc 30 -o /datastore/shekas3/UCFMT1/results/StrainPhlan4/PMCL796.marker_abund_norm.txt
#SampleID	Metaphlan_Analysis
SGB746__DPHGFAHH_00210	8.377281044651261e-08
SGB985__BNNFIPFJ_00869	4.881540884103836e-08
SGB969__PDPKDLFC_01148	1.1558501500319961e-07
SGB1507__CBAHAAFN_00644	9.500500043333964e-08
SGB1626__ONGJBKPP_00527	3.7296965571432533e-07
SGB1626__IBAHGNKN_00277	7.198630854389032e-08
SGB1626__ACFGDLPC_00855	8.856839573296338e-08
SGB1626__CJKDNIEK_01420	2.6382738762852513e-07
SGB1626__KHFFFELI_00283	8.015146879659325e-08
SGB1626__CJMGHFPE_00462	3.3213304637464144e-08
SGB1699__DFIOEEPC_00830	2.7463211151552013e-07
SGB1830__OIMJCIKK_01263	3.849455488296611e-08
SGB1830__NBMJPIKE_02410	4.813232743539607e-08
SGB1830__KBLFHCEF_02574	7.423458906251537e-08
SGB1815__CMGPCPCF_04098	2.4201427138034938e-05
SGB1815__JIMMPBFK_03038	1.705781440207603e-05
SGB1814__OPBOHGMH_00344	5.621816798213329e-05
SGB1814__HPGOHCLM_03959	5.061792997089203e-05
SGB1814__ANEHJFHJ_01402	4.2587712898871755e-05
SGB1814__IDBCODMI_00436	4.7417908949068285e-05
SGB1814__CAEKGIIK_00384	5.237218892476593e-05
SGB1814__HMKIHIBB_00791	3.699352735739156e-05
SGB1814__FJJNDEGG_01071	3.910086103506898e-05
SGB1814__FJEGJEDP_00552	6.870263609067896e-05
SGB1814__JJPIFKIO_03339	6.453592778252667e-05
SGB1814__ONEAFMMG_02539	3.261058410806726e-05
SGB1814__LJIPEOGH_02540	5.1707221728287584e-05
SGB1814__DLPKACPD_00563	6.219553646031096e-05
SGB1814__JMDCNCCF_02185	6.17972197500195e-05
SGB1814__CNCLLFIE_02778	4.431395858894185e-05
SGB1814__ODIBOHNK_02181	6.441551178555023e-05
SGB1814__AJFOPLIK_01040	2.3143545986770665e-05
SGB1814__IMMOJLOB_01930	5.181891069298603e-05
SGB1814__DLLMCIKN_02362	6.342405362208882e-05
SGB1814__PDJGGILJ_02754	6.361500859698119e-05
SGB1813__FKFBGDNL_02047	1.1507628311639699e-07
SGB1813__NAMCLLLM_01854	2.0584154058863202e-05
SGB1813__GCEPPCKN_01103	1.2625320742208987e-05
SGB1813__FKBJMNJL_02154	2.037471880618038e-05
SGB1836__KNKOIOHC_01867	6.401534088965677e-06
SGB1836__JHKNPNPH_00646	1.8111638239230718e-06
SGB1836__JBHPLJKI_01106	5.288254553927464e-06
SGB1836__NEOLHHMN_00799	5.868059809381991e-06
SGB1836__HMCCDMGF_03136	6.718298900024472e-06
SGB1836__COOJOIJB_03217	5.562833726684894e-06
SGB1836__ECGBNHCK_00077	1.974042775482893e-06
