#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/software/miniconda3/envs/metaphlan4/bin/metaphlan -t marker_ab_table /datastore/shekas3/UCFMT1/results/Metaphlan4/PMCL806_S308.mp.bowtie2out --bowtie2db /dataone/common/ref_dbs/metaphlan4/ --nreads 18625009 --input_type bowtie2out --nproc 30 -o /datastore/shekas3/UCFMT1/results/StrainPhlan4/PMCL806_S308.marker_abund_norm.txt
#SampleID	Metaphlan_Analysis
SGB746__NGEMPDIA_00582	2.6958545046715644e-08
SGB746__LBOEJMMC_01377	3.275608988883584e-08
SGB746__LLHGHDON_00881	4.182790694937083e-08
SGB746__NELDMHEE_00404	6.206200766958909e-08
SGB746__NELDMHEE_00665	1.6667951597666334e-07
SGB746__BKEDPBDM_00019	4.355854465536764e-08
SGB746__MFEIHADB_01417	2.8062919378304226e-08
SGB746__BNOEACBI_00275	5.851125032555075e-08
SGB746__LLHGHDON_00872	6.607156285303121e-08
SGB746__MKILLNGE_01128	7.461028137624852e-08
SGB746__JHNJNBDB_00022	7.751875912401366e-08
SGB746__LBOEJMMC_01284	8.651190585798074e-08
SGB746__KDELEGKB_00726	9.628598867437214e-08
SGB746__FBNKIDAC_00230	1.7589540395282745e-07
SGB746__MPHHJNID_01104	6.593454764969739e-08
SGB746__BKEDPBDM_00033	4.62607279924093e-08
SGB746__BFDNDFEG_00478	5.400867652310213e-08
SGB746__KDELEGKB_00528	5.4836080667754534e-08
SGB746__OJLLILAC_00422	3.397652786852015e-08
SGB746__CFLDPBGM_00870	1.3616461173952927e-07
SGB746__MPHHJNID_00326	7.119697099512619e-08
SGB746__GGDNAJOD_01198	7.523759005450862e-08
SGB746__NJPOFCBP_01274	8.030127058743508e-08
SGB746__HGOEFEOI_00550	1.755698493380152e-07
SGB746__NELDMHEE_00525	5.252286126039301e-08
SGB746__JFGICOBG_01389	1.1022121022084097e-07
SGB746__NCINOOOC_00969	1.1264938412439671e-07
SGB746__AENHDLNN_01513	1.2396314960120842e-07
SGB746__FBGJGGAO_00363	1.252646070927116e-07
SGB1699__HFGAGLKP_00608	1.4580293627946415e-07
SGB1699__NPNNJHIM_00033	3.39121477107598e-08
SGB1790__DMEPHNAF_00171	4.734926464117193e-07
SGB1790__PMMHKOLK_00526	4.536896765072067e-07
SGB1790__KELIFCDH_00155	1.2109691263075112e-07
SGB1790__AMEBOGKL_02230	3.0695421878995445e-07
SGB1790__NDHALAOA_01366	3.463403402033452e-07
SGB1790__LGACJHME_01128	3.135264945174374e-07
SGB1790__MBJDAFON_02946	2.748875702886791e-07
SGB1790__IIPPLFGH_01161	3.1106161779295495e-07
SGB1790__PBGAKEIC_02449	2.2497992756308852e-07
SGB1790__CPCPKIDJ_00749	4.252789724531041e-07
SGB1790__PKJAGNDN_01392	2.9042042273284435e-07
SGB1790__FMFOONIP_01666	9.759868667108071e-08
SGB1790__MHLDADDF_01804	1.4883293500133934e-07
SGB1790__LKJENMFO_02800	2.536805412948652e-07
SGB1790__IDDHJONL_01951	1.6087340846959696e-07
SGB1790__MHLDADDF_01211	2.3261964265366882e-07
SGB1790__MHDMHNNN_02113	4.0841146981593273e-07
SGB1790__LNDKLPKJ_02858	2.3337798275196157e-07
SGB1790__HJHMNHGJ_03007	6.443630441545403e-08
SGB1790__LPFCEBOD_00185	2.0512538330421423e-07
SGB1790__EHHFPKJG_01296	1.474537428497882e-07
SGB1790__KOFHICLA_00857	1.5055478827474028e-07
SGB1790__JKANKOIM_00344	1.524788239084717e-07
SGB1790__EKFCLDLF_01019	2.2871823586270753e-07
SGB1790__PMGHDMKJ_00334	8.18158201219744e-08
SGB1790__OGKIGLAJ_03167	3.2577401722177106e-07
SGB1790__OILDAJEA_01128	8.29534759010681e-08
SGB1790__OKDKKBMN_00465	6.667180639066534e-07
SGB1790__HDAJMLLO_02391	8.959811157343111e-08
SGB1790__CIEDIAPA_02954	3.714081008705018e-07
SGB1790__EKEKCKEC_02628	2.9219975432382307e-07
SGB1790__ODIENJGE_02637	3.9826955954657307e-07
SGB1790__DMAFANJP_01209	4.978369494332163e-07
SGB1790__DGLBNJDD_02879	5.180099746274705e-07
SGB1790__DHJPOEOH_00443	1.1565275227405374e-07
SGB1790__KFMIDNLO_02423	2.3130550454810747e-07
SGB1790__GLPCAILH_00376	1.1640497292595287e-07
SGB1790__KDNHNKCD_00909	4.845285132597052e-07
SGB1790__HJNCFBCL_01164	2.696390704576635e-07
SGB1790__PCEEICNL_01040	1.4009629377535584e-07
SGB1790__NOLJGKAI_00477	1.4346538503651568e-07
SGB1790__GJGHFDDB_00491	3.328590927609586e-07
SGB1790__CFPLHELD_01404	3.006518273122924e-07
SGB1790__JJIHOMHI_01364	3.9796014383623993e-07
SGB1790__LIAHFCPG_01090	3.5461849550395414e-07
SGB1790__KLINEJIJ_01266	1.9413867124712815e-07
SGB1790__NJMEEKDL_01491	2.218084528846565e-07
SGB1790__FCCODOIC_01314	4.165593718079916e-07
SGB1790__JAGANOEF_01265	5.990686690722483e-08
SGB1790__AJFLIHDC_00762	1.0026435464458573e-06
SGB1790__OGDJOPKH_02006	2.7350051107228564e-07
SGB1790__LJELBDAH_01054	4.976379642463503e-07
SGB1790__GNKHOMAH_01659	1.4274930704306345e-07
SGB1790__ODHOBDGH_00744	2.8779409471957195e-07
SGB1790__MMAKBANK_01978	4.4419106963256544e-07
SGB1790__JIBFELCF_00462	4.4789654582569057e-07
SGB1790__HFDLDKJI_03119	1.8192858873813453e-07
SGB1790__BBCBPFBG_00044	2.7569539985300405e-07
SGB1790__CAACOEOG_02678	3.7927906604594025e-07
SGB1790__ELDDLMEM_03071	2.0720398985098821e-07
SGB1790__EMBJLGJC_00134	2.3433408544260156e-07
SGB1790__LFMFEMGO_02984	9.508999186420897e-07
SGB1790__NONCLOLN_01159	6.13184483515342e-07
SGB1790__OKLLMLLD_02274	3.2031020685418555e-07
SGB1790__OIJLHFHE_01666	3.603068776652678e-07
SGB1790__CAJFLJHO_01850	1.9218397874373267e-07
SGB1790__CJICICAL_02401	2.1909311074040004e-07
SGB1790__OGBLNILH_00410	3.83853787304102e-07
SGB1790__CMFMAAKK_01666	1.159762723199781e-06
SGB1790__CLNLJHEB_00602	3.2990330967156573e-07
SGB1790__JHPMPJMN_00158	1.2898943575218398e-07
SGB1790__MAJFIGHP_03015	2.8464898615165863e-07
SGB1790__HKLGMPHC_02676	5.225505016872637e-07
SGB1790__BNPLANAD_02228	6.690528346119851e-07
SGB1790__HIDMHLFL_00077	2.5356148574940837e-07
SGB1790__CAJFLJHO_02182	5.086261130378561e-07
SGB1790__JICLPANH_00282	3.308542588182222e-07
SGB1790__MAJFIGHP_01193	1.4182167626234008e-07
SGB1790__GMIKPCGL_00185	1.3523199571680567e-07
SGB1790__KPJLHKPA_00182	2.6197282714371565e-07
SGB1790__GAIEEOPA_02243	4.0274800506473713e-07
SGB1790__NNELOEDP_01884	2.8351864796389253e-07
SGB1790__NAGFKFLO_01658	3.005212973322015e-07
SGB1790__ELDDLMEM_03112	1.8314928069552004e-07
SGB1790__NDHALAOA_02640	2.761368402170137e-07
SGB1790__ELEAMPJO_00614	2.69037695025046e-07
SGB1790__GAIEEOPA_03057	1.6501383904113673e-07
SGB1790__OEHHJGEB_02719	1.9430769214262475e-07
SGB1790__JJDOAPDE_01354	4.202847772604111e-07
SGB1790__ICEOGDOJ_00889	1.140398408958654e-07
SGB1790__MBAMBKKN_00240	1.482163917002451e-07
SGB1790__KEDMDHJN_00088	3.108490064396061e-07
SGB1790__EHHFPKJG_00272	5.340083281361794e-07
SGB1790__GHJKPMNM_01148	2.530747843043977e-07
SGB1790__PDJBMOLJ_02743	3.1746576634194814e-07
SGB1790__AOHGEODE_01388	1.272119603056003e-07
SGB1790__IOBJIOLH_00335	2.2747151379407734e-07
SGB1790__PEIMEKKN_02905	3.91372404862545e-07
SGB1790__KNOGJPMC_00063	7.501304426532113e-07
SGB1790__JGHNLKDF_00729	2.7869021734883327e-07
SGB1790__IJFJGIID_02867	2.1148759866794947e-07
SGB1790__DABOLLFC_01750	2.8880910729518367e-07
SGB1790__MABKOKBF_01087	4.1555369245474323e-07
SGB1790__FOHCPNJJ_02099	1.9009179349193108e-07
SGB1790__HJAFLPPO_00945	3.8099292141493866e-08
SGB1790__CEHEOPBG_00464	3.1623889058751314e-07
SGB1790__AACKAJCI_00840	3.183483290779186e-07
SGB1790__GMONLLHE_00073	4.785866142919206e-07
SGB1790__NEMAAGNF_01087	2.848892001247146e-07
SGB1790__CNFJMJEJ_01739	4.0978012529647335e-08
SGB1790__FDCMAABN_01839	3.293322096152234e-07
SGB1790__LGKNONDD_00498	5.37638170579611e-07
SGB1790__FJAFKMAM_01281	3.323904420173939e-07
SGB1790__HLEIPLHI_01170	1.681470217098888e-07
SGB1790__PANLALBC_03114	8.427144804035482e-08
SGB1790__IFHDLAHJ_03002	2.126815139893323e-07
SGB1790__KOBCGOPF_03258	2.98463482838697e-07
SGB1790__FMFOONIP_00336	3.9406571778604907e-07
SGB1790__KEDMDHJN_02150	5.267095480140456e-07
SGB1790__FAPNMKDP_00575	3.133960480456407e-07
SGB1790__LCBGEKPP_02231	4.5223382418772116e-07
SGB1790__JGGMDKEF_02268	4.522338241877211e-08
SGB1790__LNEABEED_01775	1.3601383486410995e-07
SGB1790__HGPLODOG_00737	7.272494303661342e-07
SGB1790__CDOOIFMF_02216	1.3705542549274864e-07
SGB1790__NOLJGKAI_00416	1.8462571292997499e-07
SGB1790__IEJIBPKI_01028	3.6925142585994997e-07
SGB1790__EADLJEMD_01136	2.3137886532962725e-07
SGB1790__HHBGFMDH_00348	4.639573666962735e-08
SGB1790__JJDOAPDE_01019	3.760400550567709e-07
SGB1790__NAGFKFLO_02010	2.3502503441048185e-07
SGB1790__HLGGFGIJ_00658	4.712878621032316e-07
SGB1790__BOBDNPHI_02714	2.842698655585971e-07
