#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/software/miniconda3/envs/metaphlan4/bin/metaphlan -t marker_ab_table /datastore/shekas3/UCFMT1/results/Metaphlan4/PMCL356.mp.bowtie2out --bowtie2db /dataone/common/ref_dbs/metaphlan4/ --nreads 20622583 --input_type bowtie2out --nproc 30 -o /datastore/shekas3/UCFMT1/results/StrainPhlan4/PMCL356.marker_abund_norm.txt
#SampleID	Metaphlan_Analysis
SGB748__HKFPEFAK_00376	3.5651863818340255e-08
SGB748__HDGGHMAB_00562	1.3793115414041296e-07
SGB748__AIJGJCOG_00691	1.5440088420272626e-07
SGB985__KOINLAGL_00504	7.076014939968202e-07
SGB969__IPMEEKEO_00719	1.621452963430778e-07
SGB969__LPOEKGHJ_00687	8.315816439522235e-08
SGB969__FOCNLHOF_00281	1.0016385059099132e-07
SGB969__OJDGFAFI_00472	7.726884538620896e-08
SGB969__HHFACLHG_00233	1.0336661980748037e-07
SGB969__CCJKMKDN_00023	1.0749109175235843e-07
SGB969__JNOMFGND_00341	5.8418381865039266e-08
SGB1626__CJMGHFPE_00617	6.321641205206161e-08
SGB1626__IBAHGNKN_00277	4.4117912501380815e-08
SGB1626__MKBAACCO_01090	1.9314623971604364e-07
SGB1699__JOEEPENL_01301	8.410375961714963e-08
SGB1699__KJMIOJGL_01735	3.6956088874389595e-08
SGB1699__OEIHFFNP_00222	1.4472364178382146e-07
SGB1699__PKEBFOLE_00730	4.212699391273308e-08
SGB1795__EGLMKALE_00525	1.7439121326663157e-07
SGB1815__FDADPDIK_02328	3.2833677524488203e-07
SGB1815__JIAOCIHN_00679	2.65660748229717e-07
SGB1815__EEPDMBED_02174	1.5039441521326322e-07
SGB1815__AKGCADPC_00222	1.4132562649907088e-07
SGB1815__NDLELKED_03377	9.122374107662599e-08
SGB1815__OGDMMBMK_02128	1.4537446333582196e-07
SGB1815__BNGCIBCO_02684	1.5514187555531244e-07
SGB1815__LGMKGJPM_02065	1.5835068942530765e-07
SGB1815__BEALFEGL_02435	2.907489266716439e-07
SGB1815__IOFGDJMH_01570	1.103506080146785e-07
SGB1815__NECNJEJC_00735	2.652035758205938e-07
SGB1815__IMHKPBDF_00351	2.2406663326666094e-07
SGB1815__LAAEOCPP_00975	1.843589279570329e-07
SGB1815__BIEAKLDK_01484	3.6956088874389597e-07
SGB1815__EDAAEGAI_01116	1.5271260353719143e-07
SGB1815__ACBBCFCD_01288	3.506741719854778e-07
SGB1815__PKDMNPFE_01000	1.0212350799434403e-07
SGB1815__HPKKOKCH_00753	1.2976299771335856e-07
SGB1815__INJOJJFK_03315	8.911864289748455e-08
SGB1815__HAFOJKKH_00606	1.6997639912755748e-07
SGB1815__MHFKDEGC_02732	8.521222371840846e-08
SGB1815__DBAOGNHH_00850	8.273252142058116e-08
SGB1815__FCACHDKC_03616	1.312787707665879e-07
SGB1815__HCOMAFFD_00985	9.844672806549247e-08
SGB1815__COMKELPC_01320	1.4080162088415437e-07
SGB1815__KICLEEFA_02368	1.0300390394516945e-07
SGB1815__DLJKHJEP_00457	9.164510122334728e-07
SGB1815__KOFPPKND_02513	3.433628436506418e-07
SGB1815__GIOIPHAO_02826	2.2656159907249124e-07
SGB1815__MFKJFFMN_00626	2.8182046131686285e-07
SGB1815__CFBDCHBM_03548	1.8411513369064256e-07
SGB1815__OBAHMNGH_04176	3.992406479960136e-07
SGB1815__FEMHLIHP_01812	9.599954546596011e-08
SGB1815__PHDMDMBM_00074	3.1752828784430306e-07
SGB1815__NFLJMMKO_00001	4.523988753131427e-07
SGB1815__HDLBEPGG_01361	3.8234983847050666e-07
SGB1815__ONBLKLOL_03711	3.4924803413047367e-07
SGB1815__PAPBEHFA_03257	7.164110440221488e-07
SGB1815__JBMCPGEG_03247	2.8419788907253597e-07
SGB1815__MKOGGFCN_01584	3.742822738087317e-07
SGB1815__GBBHIBHN_01568	1.8198264410712423e-07
SGB1815__MKAMMCAN_02032	2.5767431654233126e-07
SGB1815__HGEJFLFL_02341	9.690921417106261e-08
SGB1815__ENEJGBIK_04424	4.864358890292334e-07
SGB1815__NAIIBGOM_00474	2.3194991114593857e-07
SGB1815__MAGIMJOH_01276	4.7305248565802066e-08
SGB1815__CALEBIKH_00975	9.282781617870334e-08
SGB1815__AFKJMGCN_01396	4.959246446965706e-07
SGB1815__KPGKKGPA_02373	5.076053057555242e-07
SGB1815__CMGPCPCF_04098	4.6059500273893684e-07
SGB1815__LDEHKALB_02091	2.744314591270505e-07
SGB1815__JABGGCNM_00017	4.414543926481308e-07
SGB1815__CALEBIKH_02021	4.975587318690592e-07
SGB1815__DFABFKCB_04186	5.28879825683734e-07
SGB1815__APJPDFBL_00757	2.423847330663933e-07
SGB1815__OHFJIHJN_02685	9.52473703060666e-07
SGB1815__HJJKHGPL_02977	2.221261903992753e-07
SGB1815__MOADAADE_03372	1.8043210527907107e-06
SGB1815__NKOMOKMO_02027	2.1766315784268806e-07
SGB1815__FEGAOMOO_01850	4.2613966129553426e-07
SGB1815__BGOJGIBF_02359	2.2342981549038033e-07
SGB1815__NFCNNPAJ_01585	2.1788008974424682e-07
SGB1814__OPBOHGMH_00344	2.0111198537284378e-06
SGB1814__HPGOHCLM_03959	1.1585423576672991e-06
SGB1814__ANEHJFHJ_01402	8.035860475236031e-07
SGB1814__IDBCODMI_00436	1.703205382823079e-06
SGB1814__CAEKGIIK_00384	1.571917906991042e-06
SGB1814__HMKIHIBB_00791	8.738143050529774e-07
SGB1814__FJJNDEGG_01071	9.593282878877309e-07
SGB1814__FJEGJEDP_00552	1.123989140679259e-06
SGB1814__JJPIFKIO_03339	7.203931076899171e-07
SGB1814__ONEAFMMG_02539	1.0473945471806759e-06
SGB1814__LJIPEOGH_02540	1.210020523113725e-06
SGB1814__DLPKACPD_00563	9.277996445837543e-07
SGB1814__JMDCNCCF_02185	1.0942433817888866e-06
SGB1814__CNCLLFIE_02778	6.719968182617208e-07
SGB1814__ODIBOHNK_02181	5.076053057555242e-07
SGB1814__AJFOPLIK_01040	2.0957939674757818e-07
SGB1814__IMMOJLOB_01930	1.0156628927913805e-06
SGB1814__DLLMCIKN_02362	1.2534598552536147e-06
SGB1814__PDJGGILJ_02754	8.406039398022279e-07
SGB1836__KNKOIOHC_01867	1.2247349307388622e-06
SGB1836__JBHPLJKI_01106	2.0081376035377484e-07
SGB1836__NEOLHHMN_00799	2.002207455677426e-07
SGB1836__HMCCDMGF_03136	2.2816064655276932e-07
SGB1836__COOJOIJB_03217	6.631313813341896e-07
SGB1836__ECGBNHCK_00077	5.283457820491203e-07
SGB1836__CNIJKMKA_01967	1.8703147717508786e-07
SGB1836__BCONHIBL_02642	2.5742077669639094e-07
SGB1836__GDKNALGI_01642	4.7366141070966353e-07
SGB1836__EHCKGBHM_01887	5.664039976812281e-08
SGB1836__CDPBNFBO_00252	4.337635771439632e-07
SGB1836__HPHEKFCL_01163	1.2119236653319666e-06
SGB1836__HHAOBFCN_02304	2.347891120937475e-07
SGB1836__PJELLBLJ_02276	3.8303366166081757e-07
SGB1836__FIOILEOK_01861	3.6170286561593645e-07
SGB1836__DDDAFADN_02996	4.0898955688687525e-07
SGB1836__GGOFEEPN_00644	1.913427051747621e-07
SGB1836__NBFFKDPN_00378	2.0236224731474714e-07
SGB1836__KHDKIDJN_00205	2.468686187297961e-07
SGB1836__PCOPGDKH_01475	5.293078385367187e-07
SGB1836__AFHPFHJC_00716	1.4093788421261595e-07
SGB1836__CFDMMBAC_00618	6.908925041084052e-07
SGB1836__HPMHLJJK_03481	2.6856221332330734e-07
SGB1836__CENKBIFM_00579	1.371251610101289e-07
SGB1836__COOJOIJB_02993	2.721353437316189e-07
SGB1836__MIDJCMNA_00790	4.676700403397632e-07
SGB1836__PGCDOGHO_01594	5.753638925294108e-07
SGB1836__DNHCDDFA_03245	4.816046410115056e-07
SGB1836__FALIILAA_02260	2.688381868083929e-07
SGB1836__JPHLFCEL_00144	2.468086289018835e-07
SGB1836__FOOBMACM_00126	1.1855063305955068e-07
SGB1836__GDODCLLE_00642	2.323619334065161e-07
SGB1836__AOILAGIH_01084	1.376122687716948e-07
SGB1836__GPFHMMNI_03390	3.645465683372465e-07
SGB1836__BMPHHCGA_00469	2.1034549507447843e-07
SGB1836__PNNIJCMG_00113	3.272289168122623e-07
SGB1836__BBNMFAEK_02007	2.974367859695708e-07
SGB1836__AINAEFHN_00147	1.8225682880542293e-07
SGB1836__KIPLFKKM_02186	5.103062211411926e-07
SGB1836__LDGOMPLP_01216	8.003396399958239e-07
SGB1836__MFMKHEBF_03180	8.11824689010785e-07
SGB1836__FLCEJHPM_03279	1.8714113690436584e-07
SGB1836__HPDBLKBN_01086	2.8119486160804736e-07
SGB1836__HMDIIHNJ_01365	3.0569784295452466e-07
SGB1836__OEMNINAM_00526	4.601899068756637e-07
SGB1836__LBHEBHMP_01155	2.6333304490006086e-07
SGB1836__INBONFHP_03037	3.789517603065938e-07
SGB1836__GBFICMBK_03687	1.55856181809699e-07
SGB1836__CGOHPPOA_02588	2.4540652230675505e-07
SGB1836__CFDMMBAC_01807	5.533908269095166e-07
SGB1836__LFNIOOLE_01182	4.846059070565088e-07
SGB1836__DCDCHDNN_02575	3.371081029075399e-07
SGB1836__INIIKMEL_00882	2.9637658264887674e-07
SGB1836__MEBBFAJC_00257	2.991189277149144e-07
SGB1836__CFFFEENE_00373	2.7274012976310854e-07
SGB1836__CGBJDHLI_00628	1.3487274419369745e-07
SGB1836__HHAOBFCN_00199	4.1148532441564734e-07
SGB1836__EFMEDBII_02582	2.563481744788633e-07
SGB1836__LCMDKNOL_02298	5.307333418804931e-07
SGB1836__AOILAGIH_02788	3.151006730038534e-07
SGB1836__CFKBFNCE_02751	1.6352765113030205e-07
SGB1836__EJFHCNEA_01083	3.3467362773761645e-07
SGB1836__KEDEFIMD_00373	2.9745869847322556e-07
SGB1836__HKDIFKNE_00468	1.2883715827116563e-07
SGB1836__LCAKFNEA_02325	2.6044224988400416e-07
SGB1836__JPKMIEGF_02786	3.5007672204423443e-07
SGB1836__JOCLFNDL_02868	3.113750597082695e-07
SGB1836__GGIOMODN_01151	8.920980911203837e-08
SGB1836__BLOCIDOK_03444	8.99545260018097e-08
SGB1836__MMLDPEOG_00858	4.1050683484481694e-07
SGB1836__CJONMMAP_00771	1.8296378835516824e-07
SGB1836__GGMHDMFG_01321	1.8400521719486983e-07
SGB1836__PMGCABNC_02935	1.855897811585093e-07
SGB1836__MDFKGKGK_00663	3.26657461104445e-07
SGB1836__HAOCJODM_00432	9.360093658894288e-08
SGB1836__KAKNKAGN_01380	2.8080280976682867e-07
SGB1836__MKJNHGPF_03006	4.2242732747311327e-07
SGB1836__MNCNPLDK_03450	1.9051156152402948e-07
SGB1836__MHLJEHLP_03082	5.285793783345727e-07
SGB1836__ELHLNGGB_02979	5.78351436191951e-07
SGB1836__PCPJEIFN_01414	2.90040553804263e-07
SGB1836__DGBLOGLM_01950	1.5375724990611058e-07
SGB1836__FFDCADEB_02160	2.0566179369218444e-07
SGB1836__FHLHGDJB_03204	4.6421568643572114e-07
SGB1836__DDBNGNBN_00425	4.12636165720641e-07
SGB1836__JHIECJDP_00995	3.1654810038292893e-07
SGB1836__NFAIOFAD_01442	1.0586156770734376e-07
SGB1836__ALKCJFCD_01133	2.1382376690344854e-07
SGB1836__OGCFJBGD_01669	2.1889118349658805e-07
SGB1836__JHKNPNPH_03264	1.1249240460986544e-07
SGB1836__KAKNKAGN_00162	1.723368197147024e-07
SGB1836__JCMHEBCP_00085	1.1912495004419279e-07
SGB1836__JCEJGNKB_01682	2.3913109728621636e-07
SGB1836__OEGMAMOH_00239	3.0685855615107096e-07
SGB1836__ADONMMGL_00012	3.6963374068208394e-07
SGB1836__BEPNBBBP_00106	2.5317721341911513e-07
SGB1836__LJIIKCHP_01918	5.335136818359626e-07
SGB1836__LBJNGMDL_00048	2.0173228976417392e-07
SGB1836__MAHEPIKD_01945	2.7237583359285824e-07
SGB1836__DCFAOFIJ_00116	6.206901936318582e-07
SGB1836__NEPOIHCP_03413	2.7943919566343756e-07
SGB1836__PNNIJCMG_00153	4.2653280958495727e-07
SGB1836__AGHIBAOI_00434	5.788945671352858e-07
SGB1836__FINDLKAL_02584	7.301558240643758e-08
