#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/software/miniconda3/envs/metaphlan4/bin/metaphlan -t marker_ab_table /datastore/shekas3/UCFMT1/results/Metaphlan4/PMCL727.mp.bowtie2out --bowtie2db /dataone/common/ref_dbs/metaphlan4/ --nreads 5686875 --input_type bowtie2out --nproc 30 -o /datastore/shekas3/UCFMT1/results/StrainPhlan4/PMCL727.marker_abund_norm.txt
#SampleID	Metaphlan_Analysis
SGB713__IGDDEBKK_01183	1.1175110551205955e-06
SGB713__NNGNMODE_01303	1.9665440308373708e-07
SGB713__FMOEFODF_00213	8.65722933647242e-08
SGB713__ALDAANIP_00805	1.2558503258928037e-06
SGB713__FFJJNLBD_01597	1.4190365715478847e-07
SGB713__OPFNNNBJ_00444	3.348841061123738e-07
SGB713__KHKLFJCD_00054	7.146836906208537e-07
SGB713__JPHNAOFK_00318	1.4598442027405702e-06
SGB713__NHNFFFHB_00548	1.5656871683678447e-06
SGB713__JDFIEMGO_01454	6.658528606345463e-07
SGB713__JPHNAOFK_00293	6.975491185864728e-07
SGB713__FKCLMMKN_00399	7.278663411817253e-07
SGB713__HJPNIHKH_01044	3.6850926509937363e-07
SGB713__JMLADIMD_00911	2.1964399174919645e-06
SGB713__GBNKEJGB_00080	1.425940877692374e-07
SGB713__IBJCFIKF_01736	1.7287433994256172e-07
SGB713__EAHPFCLB_00382	4.903780497930647e-07
SGB713__IDGLDANL_01121	3.386977722582144e-07
SGB713__INBDFEFD_00575	8.134303182722716e-07
SGB713__IDHJINOH_00817	6.775098903050462e-07
SGB713__DNLPODDD_00432	2.9445878813074716e-07
SGB713__EIEPIGDN_00125	4.954982531537176e-07
SGB713__PFKJMHNP_00894	1.5796569308596728e-07
SGB713__KAOBFNLN_01371	1.7804303610511672e-06
SGB713__HPCOAPIO_00249	9.301014129750948e-07
SGB713__IKIKMPDL_00407	5.374596683277912e-07
SGB713__LOLNOPPK_00762	4.601463380460593e-07
SGB713__MEFGKJBD_00828	1.0461418637736945e-06
SGB713__JCKGCCEL_01189	5.73801369936311e-07
SGB713__PJJPKGMI_00329	4.347879829397749e-07
SGB713__ALPIAMDP_01457	8.386033553544461e-07
SGB713__PEGLPHFG_00444	6.660001778666695e-07
SGB713__DPMNANBL_00728	1.1314264573459518e-06
SGB713__FBGBHIGI_01021	1.2971503497824645e-06
SGB713__OCLGMCDA_00481	1.2260949263807811e-06
SGB713__ENGFHOPN_00424	6.195270801177182e-07
SGB713__MMMEOPFH_00425	2.5704821042378504e-07
SGB713__JPHNAOFK_00263	7.711446312713551e-07
SGB713__AAKBFDKL_00588	1.3566336790239578e-07
SGB713__NJKLPPMJ_01560	1.580066659745946e-06
SGB713__PEGLPHFG_00627	4.3198590826026027e-07
SGB713__BCCJFEDI_01412	2.030901883040229e-06
SGB713__CKAEEGNM_00347	1.4912414406461953e-07
SGB713__LKKKEDLN_01748	8.970270367101915e-07
SGB713__BEGEEOBG_00192	7.494340673371827e-07
SGB713__DMMBLFPM_00050	1.7054493991936114e-06
SGB713__MDGHPDED_01341	3.100817089442929e-07
SGB713__KAOBFNLN_00154	3.125619762537859e-07
SGB713__ACJPAFEL_01440	9.427129480703329e-07
SGB713__EJCLHBNI_00668	1.7613568498356787e-06
SGB713__JHFPNOEB_00323	9.849564760734648e-07
SGB713__CEMHNKNE_00739	3.3393017909785156e-07
SGB713__KBEGAJPC_00105	5.186230198276851e-07
SGB713__CNGDMANF_00139	5.20157142323157e-07
SGB713__NELMMOAJ_01082	3.5303727926117066e-07
SGB713__INMFMJMJ_00756	1.770518344730261e-07
SGB713__AKAGHJOC_00178	1.6031515171481028e-06
SGB713__COJOLONA_01268	1.7921721932348348e-06
SGB713__HCAFICKL_01030	3.595337338092228e-07
SGB713__NLIGIBLA_00516	1.0953987863800806e-06
SGB713__NLIGIBLA_00553	1.8486971774731882e-07
SGB713__HBBCLMMH_00231	1.1092183064839131e-06
SGB713__HCKFOIEN_00033	1.8904340876815087e-07
SGB713__CFAEDIGA_00945	1.908903870559498e-07
SGB713__CCNDOMBC_00162	1.908903870559498e-07
SGB713__INMFMJMJ_01525	1.9151409278485455e-07
SGB713__JBCMJBIJ_01295	5.764256628126748e-07
SGB713__CGFGLCOB_00545	9.899144343760095e-07
SGB713__JCMPFGFG_00288	8.196158072500393e-07
SGB713__GBNKEJGB_01432	6.168682971430111e-07
SGB713__AGACPMMK_00477	2.285907678016287e-06
SGB713__ABHDAFMH_00496	2.1156007724996057e-07
SGB713__BKDEAJBD_01298	4.2619673846050033e-07
SGB713__HFDKPIKP_00384	2.1544821423240892e-07
SGB713__EEBPLDKK_00522	6.323976889580438e-07
SGB713__CDMNFCLM_01038	1.5249532252840013e-06
SGB713__COJOLONA_01713	4.422760897928979e-07
SGB713__DHEOGOMI_00294	4.54273112342679e-07
SGB713__JPMKPAFP_01291	2.2891065569334636e-07
SGB713__MACLHLPI_00380	2.3254331608823964e-06
SGB713__BBGPEBBL_00140	1.95334122047103e-06
SGB713__HJHFALGE_01522	1.4961685077017661e-06
SGB713__HBDHECKN_00865	1.5220696375991613e-06
SGB713__GKIOOBLE_00713	1.7680957514517362e-06
SGB713__KLJIDKIG_00514	2.604412710418694e-07
SGB713__CKAEEGNM_01109	2.604412710418694e-07
SGB713__FDOMBFLN_01043	1.3317940979212847e-06
SGB713__NJKLGMLD_01129	2.7129005670562554e-07
SGB713__ENCIMLEC_01723	2.751099957990484e-07
SGB713__EEBPLDKK_01013	2.777169517481443e-07
SGB713__ABHDAFMH_01050	1.6903281605710944e-06
SGB713__GFLJPAIM_00412	8.57528811750384e-07
SGB713__CKAEEGNM_00613	1.154633254679312e-06
SGB713__JCKGCCEL_01323	1.775673090614797e-06
SGB713__JDFIEMGO_01280	2.9594551510246614e-07
SGB713__FHPOGIEG_00126	3.084025489886401e-07
SGB713__CDOOFPPA_00440	2.1817768563577244e-06
SGB713__JFHMOGGF_01544	1.2807824133773923e-06
SGB713__OIHNJHIG_00725	1.9107357728422387e-06
SGB713__FBJMKGAJ_00933	1.6367423903373058e-06
SGB713__LBIGIJHJ_00293	1.027973390777199e-06
SGB713__JNMDLHFG_00594	3.5511367066438864e-07
SGB713__EDNFHDAJ_01322	1.4467499172358682e-06
SGB713__NOKPIKHK_00971	1.0917995117725882e-06
SGB713__AEIDJAIG_00801	3.6850926509937363e-07
SGB713__LDMAEFAE_00821	7.416814804655674e-07
SGB713__BIOCBFAN_00601	1.1340467967994288e-06
SGB713__MLFHBFPA_01796	3.708407402327837e-07
SGB713__INMFMJMJ_00925	7.609386298684294e-07
SGB713__IDGLDANL_01475	2.2977305604768223e-06
SGB713__EKPJNJIK_00604	3.8547356693786256e-07
SGB713__ONKBJBOC_00362	3.829550934128037e-07
SGB713__NIIGOJMA_00582	7.709471338757251e-07
SGB713__MPPPDNNN_01070	7.864634762146202e-07
SGB713__MMADPEDO_00633	3.932317381073101e-07
SGB713__HBNFCKFD_00105	8.081502835362137e-07
SGB713__IGILDNIB_00501	4.0130861071476507e-07
SGB713__HPCOAPIO_00619	1.2645297215356592e-06
SGB713__HHGMJIPI_01318	4.3723103538836815e-07
SGB713__JNBBLHAM_00702	1.352034766557292e-06
SGB1626__JKGFEDKB_01669	5.375877873882177e-05
SGB1626__PGIJIHBI_01431	7.166469310514668e-05
SGB1626__ONGJBKPP_00527	4.5293153595606064e-05
SGB1626__DBAJNPIO_00565	3.7965179420268674e-05
