"","sample","bin_id","bin_len","bin_covbases","bin_numreads","bin_coverage"
"76","DonorB_D_2013","bin_22",2597267,2170707,53598,83.5765826154954
"77","DonorB_D_2013","bin_220",2512872,2368078,51991,94.2379078600104
"78","DonorB_D_2013","bin_222",2871657,52500,4689,1.82821277053631
"79","DonorB_D_2013","bin_224",2444546,1001953,16652,40.9872835283116
"80","DonorB_D_2013","bin_227",2247063,2240705,109696,99.7170528819174
"81","DonorB_D_2013","bin_228",2406317,1442656,31332,59.9528657279984
"82","DonorB_D_2013","bin_229",2793158,2327532,41893,83.329765090267
"83","DonorB_D_2013","bin_23",1992111,1992111,1265053,100
"84","DonorB_D_2013","bin_231",1799857,1799649,146982,99.9884435263468
"85","DonorB_D_2013","bin_232",4683860,3205525,30735,68.4376774711456
"86","DonorB_D_2013","bin_235",2315678,2315660,232823,99.9992226898559
"87","DonorB_D_2013","bin_236",3222887,3173068,112301,98.4542120155004
"88","DonorB_D_2013","bin_237",2813968,2789498,88702,99.1304094431777
"89","DonorB_D_2013","bin_24",2491699,1607645,23059,64.5200323152997
"90","DonorB_D_2013","bin_240",2584588,2584568,2008983,99.9992261822774
"91","DonorB_D_2013","bin_244",1987785,1902268,51011,95.6978747701587
"92","DonorB_D_2013","bin_245",2545417,2224280,78021,87.3837174812614
"93","DonorB_D_2013","bin_248",1411623,1377728,30329,97.5988631525556
"94","DonorB_D_2013","bin_25",1850870,204410,3041,11.0439955264281
"95","DonorB_D_2013","bin_254",2446787,2429984,97730,99.3132626583352
"96","DonorB_D_2013","bin_255",5621187,4374276,48998,77.8176566621961
"97","DonorB_D_2013","bin_257",1577859,1441633,29867,91.3664021943659
"98","DonorB_D_2013","bin_259",2523892,2449845,76098,97.0661581398887
"99","DonorB_D_2013","bin_260",2071793,2067146,76968,99.7757015300274
"100","DonorB_D_2013","bin_262",1035753,378644,4639,36.557364545408
"101","DonorB_D_2013","bin_266",1919176,58568,5057,3.0517263658987
"102","DonorB_D_2013","bin_271",1596841,1585840,58208,99.3110773082605
"103","DonorB_D_2013","bin_273",2073775,1455006,20397,70.162192137527
"104","DonorB_D_2013","bin_274",1466525,827656,11130,56.4365421660047
"105","DonorB_D_2013","bin_276",3032347,3032003,916784,99.9886556518763
"106","DonorB_D_2013","bin_278",5987725,5654337,111898,94.4321424247105
"107","DonorB_D_2013","bin_279",2096806,136686,2057,6.51877188447572
"108","DonorB_D_2013","bin_283",2248113,2179136,53605,96.9317823436811
"109","DonorB_D_2013","bin_284",2051454,378850,8589,18.4673894710776
"110","DonorB_D_2013","bin_286",1764186,1703784,52482,96.5762113518643
"111","DonorB_D_2013","bin_287",2282214,1565097,27638,68.5780124037448
"112","DonorB_D_2013","bin_288",1707881,1685043,71214,98.6627873956089
"113","DonorB_D_2013","bin_295",2174866,2174817,186652,99.9977469876305
"114","DonorB_D_2013","bin_296",2174701,2172539,93914,99.9005840343109
"115","DonorB_D_2013","bin_298",1098661,1096057,36105,99.762984214421
"116","DonorB_D_2013","bin_30",2291135,1793320,27314,78.272122768846
"117","DonorB_D_2013","bin_300",1874665,1789546,57343,95.4595087655661
"118","DonorB_D_2013","bin_301",2973322,1344098,89952,45.2052619931511
"119","DonorB_D_2013","bin_302",2011852,730493,7789,36.3094800213932
"120","DonorB_D_2013","bin_303",2603993,1610924,31486,61.8636071602343
"121","DonorB_D_2013","bin_307",2753009,2750305,206964,99.9017801975947
"122","DonorB_D_2013","bin_310",2830594,2821660,109909,99.6843772013931
"123","DonorB_D_2013","bin_314",1444035,374189,9706,25.9127375721503
"124","DonorB_D_2013","bin_318",1678402,1594021,29383,94.9725393558873
"125","DonorB_D_2013","bin_32",2108243,450255,4611,21.3568834332665
"126","DonorB_D_2013","bin_320",1925987,1908065,664516,99.0694641241088
"127","DonorB_D_2013","bin_322",1633033,53521,12440,3.27739855838798
"128","DonorB_D_2013","bin_323",2844979,2804432,112300,98.574787371014
"129","DonorB_D_2013","bin_326",2600040,1934664,25279,74.4090090921678
"130","DonorB_D_2013","bin_328",3111483,3097731,115856,99.5580242604572
"131","DonorB_D_2013","bin_33",1632270,1618448,61141,99.1532038204464
"132","DonorB_D_2013","bin_331",2426134,2327976,62901,95.9541393838922
"133","DonorB_D_2013","bin_334",3031064,1450594,23409,47.857584003505
"134","DonorB_D_2013","bin_337",2649673,2313919,96229,87.3284741173722
"135","DonorB_D_2013","bin_342",3532415,3532126,427241,99.9918186283322
"136","DonorB_D_2013","bin_345",2359262,856351,40311,36.2974099527734
"137","DonorB_D_2013","bin_346",2176844,2159391,76225,99.1982429609104
"138","DonorB_D_2013","bin_349",3060305,173079,18200,5.65561275755194
"139","DonorB_D_2013","bin_351",3400475,330214,4567,9.71081981193804
"140","DonorB_D_2013","bin_354",2426756,2418939,172745,99.6778827372839
"141","DonorB_D_2013","bin_358",1508169,336938,10993,22.3408649826379
"142","DonorB_D_2013","bin_359",1317554,1317554,108706,100
"143","DonorB_D_2013","bin_36",2670235,1333105,62406,49.924632101669
"144","DonorB_D_2013","bin_360",2131624,1879019,57614,88.1496455284797
"145","DonorB_D_2013","bin_361",4818545,4452024,77012,92.3935337326932
"146","DonorB_D_2013","bin_362",2205259,2160789,51789,97.9834568184508
"147","DonorB_D_2013","bin_363",2080352,2066206,55576,99.3200189198751
"148","DonorB_D_2013","bin_365",1684807,313873,5206,18.6296115816233
"149","DonorB_D_2013","bin_367",3464344,1295783,10812,37.4034160579896
"150","DonorB_D_2013","bin_368",1217972,217140,17012,17.8279960458861
"151","DonorB_D_2013","bin_369",4101997,4100065,983697,99.9529009894449
"152","DonorB_D_2013","bin_370",2348593,1618875,26194,68.9295676177184
"153","DonorB_D_2013","bin_375",2668811,89344,4200,3.34770802428497
"154","DonorB_D_2013","bin_377",2317339,2308016,737583,99.5976851034743
"155","DonorB_D_2013","bin_378",1559599,444816,14937,28.5211775591033
"156","DonorB_D_2013","bin_380",2726751,2508382,55161,91.9916046606382
"157","DonorB_D_2013","bin_381",4545961,146735,9259,3.22781035736998
"158","DonorB_D_2013","bin_385",1662402,15750,2366,0.94742426922008
"159","DonorB_D_2013","bin_386",1426502,70279,7395,4.92666676948227
"160","DonorB_D_2013","bin_387",1689673,1629475,45171,96.4372988146227
"161","DonorB_D_2013","bin_390",2292109,2209853,96095,96.4113399493654
"162","DonorB_D_2013","bin_393",2026581,207399,6224,10.23393587525
"163","DonorB_D_2013","bin_394",1438968,1376536,32504,95.6613350679098
"164","DonorB_D_2013","bin_395",2876886,2740904,62752,95.2732920247796
"165","DonorB_D_2013","bin_396",2108454,2082928,52541,98.789349921791
"166","DonorB_D_2013","bin_397",2801538,1863455,30232,66.5154283111634
"167","DonorB_D_2013","bin_40",2447716,2444580,230848,99.871880561307
"168","DonorB_D_2013","bin_403",2024094,815761,10651,40.3025254755955
"169","DonorB_D_2013","bin_404",2339711,2285374,54990,97.6776191589474
"170","DonorB_D_2013","bin_405",2390384,2389581,735325,99.9664070709978
"171","DonorB_D_2013","bin_407",2299373,1549930,15210,67.4066365048211
"172","DonorB_D_2013","bin_412",1663969,24944,1770,1.499066388857
"173","DonorB_D_2013","bin_417",2289317,2193963,294720,95.8348275926838
"174","DonorB_D_2013","bin_420",2801897,1684676,14838,60.1262644558312
"175","DonorB_D_2013","bin_422",1565230,1563934,64433,99.9172006669946
"176","DonorB_D_2013","bin_423",1291890,1184910,74998,91.7191092120846
"177","DonorB_D_2013","bin_43",1869160,590447,10228,31.5888955466627
"178","DonorB_D_2013","bin_433",3056555,618059,10222,20.2207714240378
"179","DonorB_D_2013","bin_434",1858965,1843248,234946,99.154529536597
"180","DonorB_D_2013","bin_435",4352105,87293,10805,2.00576502634932
"181","DonorB_D_2013","bin_437",1132640,114175,26222,10.0804315581297
"182","DonorB_D_2013","bin_440",2470298,105594,10631,4.27454501440717
"183","DonorB_D_2013","bin_442",1089736,1089548,99334,99.9827481151398
"184","DonorB_D_2013","bin_443",1553922,1553326,167443,99.9616454365148
"185","DonorB_D_2013","bin_444",1086098,215629,12287,19.8535491272427
"186","DonorB_D_2013","bin_447",1915532,25724,2580,1.34291674584397
"187","DonorB_D_2013","bin_47",4249709,557219,54269,13.1119330758883
"188","DonorB_D_2013","bin_53",2745622,2639168,358277,96.1227729090166
"189","DonorB_D_2013","bin_55",2548935,2522533,121236,98.964194850006
"190","DonorB_D_2013","bin_58",2256813,2212831,49154,98.0511455756414
"191","DonorB_D_2013","bin_60",2590257,961680,21038,37.1268179180676
"192","DonorB_D_2013","bin_65",2683266,619381,20118,23.0831009672541
"193","DonorB_D_2013","bin_66",2147677,228400,4399,10.6347462863364
"194","DonorB_D_2013","bin_67",2099624,2095752,224947,99.8155860287366
"195","DonorB_D_2013","bin_73",2194880,319047,7006,14.5359655197551
"196","DonorB_D_2013","bin_77",1730208,786711,11385,45.4691574654608
"197","DonorB_D_2013","bin_78",1964903,1628839,34256,82.8966620744128
"198","DonorB_D_2013","bin_8",2733583,2289622,37036,83.7590078662327
"199","DonorB_D_2013","bin_80",2831156,2759460,70254,97.4676068715394
"200","DonorB_D_2013","bin_82",2889361,577834,10782,19.998677908368
"201","DonorB_D_2013","bin_86",2864004,2757394,115558,96.2775889977807
"202","DonorB_D_2013","bin_88",1791097,1790985,99634,99.9937468489981
"203","DonorB_D_2013","bin_89",3252267,278849,6723,8.57398854399101
"204","DonorB_D_2013","bin_9",1961833,1151624,27152,58.7014287148804
"205","DonorB_D_2013","bin_92",3000695,2989357,107526,99.6221542009434
"206","DonorB_D_2013","bin_94",1654596,24898,10892,1.50477820567679
"207","DonorB_D_2013","bin_95",1851646,1371047,16317,74.0447688165016
"208","DonorB_D_2013","bin_97",2464416,2376444,54205,96.430310467064
"209","DonorB_D_2013","bin_98",2614543,2171961,36029,83.0722998244818
"210","DonorB_D_2016","bin_100",1692583,1469771,22600,86.8359779106844
"211","DonorB_D_2016","bin_101",2208582,312210,7192,14.1362195290915
"212","DonorB_D_2016","bin_104",2791061,433039,9570,15.5152108821699
"213","DonorB_D_2016","bin_107",2418589,1004603,19173,41.5367389829359
"214","DonorB_D_2016","bin_108",1334333,1212427,19106,90.8638997911316
"215","DonorB_D_2016","bin_109",1945922,301932,8474,15.5161409347343
"216","DonorB_D_2016","bin_11",2652403,604863,12687,22.8043400644623
"217","DonorB_D_2016","bin_110",2489628,737598,10762,29.6268358164352
"218","DonorB_D_2016","bin_112",1976985,62269,4824,3.14969511655374
"219","DonorB_D_2016","bin_113",2101716,340554,10622,16.203616473396
"220","DonorB_D_2016","bin_116",2940545,2690668,75864,91.5023575561673
"221","DonorB_D_2016","bin_117",2441739,2440055,293079,99.9310327598486
"222","DonorB_D_2016","bin_118",2094480,1932645,49286,92.2732611435774
"223","DonorB_D_2016","bin_12",2160944,2160526,168353,99.9806566019295
"224","DonorB_D_2016","bin_122",3027848,224414,3827,7.41166663584169
"225","DonorB_D_2016","bin_123",1431238,925808,13550,64.685817453142
"226","DonorB_D_2016","bin_126",1800315,750291,7468,41.6755401138134
"227","DonorB_D_2016","bin_127",2006863,291621,7820,14.5311862344365
"228","DonorB_D_2016","bin_129",2871564,2647533,67902,92.1982933342248
"229","DonorB_D_2016","bin_13",1439546,41471,3332,2.88083882001687
"230","DonorB_D_2016","bin_132",1767901,20307,2604,1.14865029206952
"231","DonorB_D_2016","bin_133",2386911,702036,10115,29.4119051778638
"232","DonorB_D_2016","bin_134",2820780,477746,15825,16.9366629088408
"233","DonorB_D_2016","bin_135",1959837,25403,3844,1.29617922306804
"234","DonorB_D_2016","bin_137",2430177,1583199,25312,65.1474769121755
"235","DonorB_D_2016","bin_138",2764838,2705768,72176,97.8635276280202
"236","DonorB_D_2016","bin_139",2803639,2248933,31808,80.214785141739
"237","DonorB_D_2016","bin_141",2116228,1307576,18383,61.7880493028161
"238","DonorB_D_2016","bin_142",2489841,1576841,34864,63.3309918183531
"239","DonorB_D_2016","bin_143",1875593,521055,7559,27.7808138546049
"240","DonorB_D_2016","bin_144",5706077,168839,12452,2.95893308134468
"241","DonorB_D_2016","bin_145",2687503,719443,10899,26.7699422102971
"242","DonorB_D_2016","bin_147",2308024,699499,11375,30.3072671687989
"243","DonorB_D_2016","bin_149",2485778,266137,8451,10.7063864914727
"244","DonorB_D_2016","bin_152",1472854,98229,3300,6.66929648152498
"245","DonorB_D_2016","bin_154",1276592,28790,2997,2.25522328198829
"246","DonorB_D_2016","bin_159",1783660,1519981,28576,85.2169696018299
"247","DonorB_D_2016","bin_16",1486388,15471,2340,1.04084532437022
"248","DonorB_D_2016","bin_160",1855298,808999,37113,43.604800953809
"249","DonorB_D_2016","bin_161",2811698,1978285,21888,70.3590855063382
"250","DonorB_D_2016","bin_165",1951548,1945898,72524,99.7104862396416
"251","DonorB_D_2016","bin_167",1865544,1833222,66673,98.2674222639616
"252","DonorB_D_2016","bin_168",3370120,430765,11898,12.7818890721992
"253","DonorB_D_2016","bin_169",2735254,2730905,177530,99.8410019691042
"254","DonorB_D_2016","bin_17",2269345,349489,8223,15.4004349272587
"255","DonorB_D_2016","bin_173",1256867,644331,7670,51.2648514122815
"256","DonorB_D_2016","bin_174",2849112,281964,17207,9.8965572430989
"257","DonorB_D_2016","bin_175",1839175,1839175,307045,100
"258","DonorB_D_2016","bin_177",2222035,2100517,53919,94.5312292560648
"259","DonorB_D_2016","bin_178",3112052,2865977,54272,92.0928377803456
"260","DonorB_D_2016","bin_18",2023700,83280,15049,4.11523447151258
"261","DonorB_D_2016","bin_182",6151194,3935447,77513,63.9785869214985
"262","DonorB_D_2016","bin_185",1785659,396966,5724,22.2307842650808
"263","DonorB_D_2016","bin_186",2862869,2812191,244648,98.2298177108348
"264","DonorB_D_2016","bin_187",2868302,987445,19834,34.4261169151644
"265","DonorB_D_2016","bin_188",1955483,726718,10625,37.1630947443675
"266","DonorB_D_2016","bin_19",2891845,128844,9267,4.45542551554457
"267","DonorB_D_2016","bin_194",2966929,453841,8629,15.2966585988408
"268","DonorB_D_2016","bin_195",2253866,2253862,305702,99.99982252716
"269","DonorB_D_2016","bin_196",2159449,1242710,13868,57.5475503241799
"270","DonorB_D_2016","bin_197",2682486,74334,6363,2.77108622374916
"271","DonorB_D_2016","bin_198",1167925,21455,2670,1.83701864417664
"272","DonorB_D_2016","bin_199",1005057,740693,11214,73.6966162118168
"273","DonorB_D_2016","bin_20",2218059,1417840,17866,63.9225557119986
"274","DonorB_D_2016","bin_202",2634691,2196448,31377,83.3664365195008
"275","DonorB_D_2016","bin_203",2766272,537367,18976,19.4256746986558
"276","DonorB_D_2016","bin_207",1950414,53159,4172,2.72552391440997
"277","DonorB_D_2016","bin_209",2180716,2177310,529194,99.8438127660823
"278","DonorB_D_2016","bin_210",2017938,665953,8059,33.0016581282477
"279","DonorB_D_2016","bin_211",1115178,41075,3117,3.68326850063398
"280","DonorB_D_2016","bin_212",2238827,935022,17996,41.7639236975434
"281","DonorB_D_2016","bin_214",2010683,19814,3080,0.985436292046036
"282","DonorB_D_2016","bin_217",1643685,187016,5310,11.3778491620961
"283","DonorB_D_2016","bin_218",2593465,2490744,56863,96.039237082436
"284","DonorB_D_2016","bin_219",2123352,2121318,930509,99.904208063477
"285","DonorB_D_2016","bin_22",2597267,2159145,56474,83.1314223759051
"286","DonorB_D_2016","bin_220",2512872,52452,5698,2.0873327411822
"287","DonorB_D_2016","bin_222",2871657,134825,5523,4.69502451023921
"288","DonorB_D_2016","bin_224",2444546,1903622,26510,77.8722102181755
"289","DonorB_D_2016","bin_227",2247063,1937239,26763,86.2120465692328
"290","DonorB_D_2016","bin_228",2406317,330905,8917,13.7515132046193
"291","DonorB_D_2016","bin_229",2793158,808046,11533,28.9294769576229
"292","DonorB_D_2016","bin_23",1992111,1992106,513391,99.9997490099698
"293","DonorB_D_2016","bin_231",1799857,1799289,113456,99.9684419373317
"294","DonorB_D_2016","bin_232",4683860,266985,6784,5.70010632256301
"295","DonorB_D_2016","bin_235",2315678,2315678,184580,100
"296","DonorB_D_2016","bin_236",3222887,3116700,95253,96.7052211262759
"297","DonorB_D_2016","bin_237",2813968,2719456,68433,96.6413264116721
"298","DonorB_D_2016","bin_24",2491699,1343016,17622,53.8996082592641
"299","DonorB_D_2016","bin_240",2584588,2551105,70722,98.7045130597217
"300","DonorB_D_2016","bin_244",1987785,580501,13695,29.2034098255093
"301","DonorB_D_2016","bin_245",2545417,613015,13501,24.0830873683958
"302","DonorB_D_2016","bin_248",1411623,136170,3211,9.64634325170389
"303","DonorB_D_2016","bin_25",1850870,276913,4451,14.9612344465035
"304","DonorB_D_2016","bin_254",2446787,908799,17910,37.1425465314308
"305","DonorB_D_2016","bin_255",5621187,429735,11784,7.64491556676552
"306","DonorB_D_2016","bin_257",1577859,1449396,33906,91.8583979937371
"307","DonorB_D_2016","bin_259",2523892,639668,10861,25.3445076096758
"308","DonorB_D_2016","bin_260",2071793,2067496,90795,99.7925951096466
"309","DonorB_D_2016","bin_262",1035753,13010,2133,1.25609097921995
"310","DonorB_D_2016","bin_266",1919176,33541,3740,1.74767712810081
"311","DonorB_D_2016","bin_271",1596841,1491795,32454,93.4216368442444
"312","DonorB_D_2016","bin_273",2073775,1964748,41531,94.7425829706694
"313","DonorB_D_2016","bin_274",1466525,708010,11158,48.278072313803
"314","DonorB_D_2016","bin_276",3032347,2864272,63317,94.4572636311082
"315","DonorB_D_2016","bin_278",5987725,1332155,26058,22.2480992363544
"316","DonorB_D_2016","bin_279",2096806,12712,2162,0.60625541895626
"317","DonorB_D_2016","bin_283",2248113,305664,7888,13.5964695724815
"318","DonorB_D_2016","bin_284",2051454,586814,10753,28.6047847039222
"319","DonorB_D_2016","bin_286",1764186,1762121,101875,99.8829488500646
"320","DonorB_D_2016","bin_287",2282214,830954,14637,36.4099948558724
"321","DonorB_D_2016","bin_288",1707881,31822,1892,1.86324457031842
"322","DonorB_D_2016","bin_295",2174866,2172003,126948,99.8683597058394
"323","DonorB_D_2016","bin_296",2174701,2172042,119944,99.877730317869
"324","DonorB_D_2016","bin_298",1098661,119680,4435,10.8932600683923
"325","DonorB_D_2016","bin_30",2291135,911285,11540,39.7743912951441
"326","DonorB_D_2016","bin_300",1874665,1487664,23315,79.3562583181528
"327","DonorB_D_2016","bin_301",2973322,798977,23931,26.871526191916
"328","DonorB_D_2016","bin_302",2011852,1983565,50602,98.5939820622988
"329","DonorB_D_2016","bin_303",2603993,778192,11665,29.8845657419202
"330","DonorB_D_2016","bin_307",2753009,1728362,24090,62.7808336260434
"331","DonorB_D_2016","bin_310",2830594,1412187,20346,49.8901290683157
"332","DonorB_D_2016","bin_314",1444035,33859,3854,2.34474926161762
"333","DonorB_D_2016","bin_318",1678402,1539470,27674,91.7223644871729
"334","DonorB_D_2016","bin_32",2108243,1057055,11494,50.1391443016768
"335","DonorB_D_2016","bin_320",1925987,1898727,83253,98.5846218068969
"336","DonorB_D_2016","bin_322",1633033,1632984,72613,99.9969994482659
"337","DonorB_D_2016","bin_323",2844979,717262,24379,25.2115041973948
"338","DonorB_D_2016","bin_326",2600040,1531399,21864,58.8990553991477
"339","DonorB_D_2016","bin_328",3111483,1618166,21959,52.0062619657572
"340","DonorB_D_2016","bin_33",1632270,1609558,64305,98.6085635342192
"341","DonorB_D_2016","bin_331",2426134,2351621,55071,96.9287351811565
"342","DonorB_D_2016","bin_334",3031064,156090,11475,5.14967681315868
"343","DonorB_D_2016","bin_337",2649673,1063509,23262,40.137367894076
"344","DonorB_D_2016","bin_342",3532415,3525671,242095,99.8090824549211
"345","DonorB_D_2016","bin_345",2359262,318351,7528,13.4936687828652
"346","DonorB_D_2016","bin_346",2176844,1920265,34589,88.2132573578998
"347","DonorB_D_2016","bin_349",3060305,128613,11726,4.2026203270589
"348","DonorB_D_2016","bin_351",3400475,40388,5815,1.18771642197046
"349","DonorB_D_2016","bin_354",2426756,2415214,144333,99.5243856407484
"350","DonorB_D_2016","bin_358",1508169,47075,3896,3.12133454539909
"351","DonorB_D_2016","bin_359",1317554,1202952,23029,91.3019124832834
"352","DonorB_D_2016","bin_36",2670235,609064,15378,22.8093782007951
"353","DonorB_D_2016","bin_360",2131624,1700393,34513,79.7698374572626
"354","DonorB_D_2016","bin_361",4818545,3152175,40030,65.4175689964502
"355","DonorB_D_2016","bin_362",2205259,2198596,85152,99.6978586188742
