"","marker.id","X1","X2","X3"
"68","t__SGB10068","DonorB_P4.mp","PMCL293_S293.mp",0.16401284840587
"69","t__SGB10068","DonorB_P4.mp","PMCL684_S300.mp",0.23005766260938
"70","t__SGB10068","DonorB_P4.mp","PMCL741_S314.mp",0.237872287000186
"71","t__SGB10068","DonorB_P4.mp","PMCL636_S295.mp",0.092171348498565
"72","t__SGB10068","DonorB_P4.mp","PMCL823.mp",0.112314356105216
"73","t__SGB10068","DonorB_P4.mp","PMCL822.mp",0.112875022534516
"74","t__SGB10068","DonorB_P4.mp","PMCL813.mp",0.10569255333492
"75","t__SGB10068","DonorB_P4.mp","PMCL818.mp",0.0657639368261863
"76","t__SGB10068","DonorB_P4.mp","PMCL821_S310.mp",0.0569063418046418
"77","t__SGB10068","DonorB_P4.mp","PMCL820_S309.mp",0.0472330335276865
"78","t__SGB10068","DonorB_P4.mp","PMCL805_S307.mp",0.0805164447448297
"79","t__SGB10068","DonorB_P4.mp","PMCL731_S312.mp",0.0319177340466609
"80","t__SGB10068","DonorB_P4.mp","DonorB_P8.mp",1.56139918399573e-06
"81","t__SGB10068","DonorB_P4.mp","DonorB_P6.mp",0.0108944451559161
"82","t__SGB10068","DonorB_P2.mp","DonorB_P4.mp",0.00465018413315522
"83","t__SGB10068","DonorB_P2.mp","PMCL719_S304.mp",0.253584851377091
"84","t__SGB10068","DonorB_P2.mp","PMCL657.mp",0.265745065684191
"85","t__SGB10068","DonorB_P2.mp","PMCL656.mp",0.265745065684191
"86","t__SGB10068","DonorB_P2.mp","PMCL293_S293.mp",0.161446899387594
"87","t__SGB10068","DonorB_P2.mp","PMCL684_S300.mp",0.227491713591104
"88","t__SGB10068","DonorB_P2.mp","PMCL741_S314.mp",0.23530633798191
"89","t__SGB10068","DonorB_P2.mp","PMCL636_S295.mp",0.0896053994802885
"90","t__SGB10068","DonorB_P2.mp","PMCL823.mp",0.109748407086939
"91","t__SGB10068","DonorB_P2.mp","PMCL822.mp",0.110309073516239
"92","t__SGB10068","DonorB_P2.mp","PMCL813.mp",0.103126604316644
"93","t__SGB10068","DonorB_P2.mp","PMCL818.mp",0.0631979878079097
"94","t__SGB10068","DonorB_P2.mp","PMCL821_S310.mp",0.0543403927863652
"95","t__SGB10068","DonorB_P2.mp","PMCL820_S309.mp",0.0446670845094099
"96","t__SGB10068","DonorB_P2.mp","PMCL805_S307.mp",0.0779504957265531
"97","t__SGB10068","DonorB_P2.mp","PMCL731_S312.mp",0.0321528486698349
"98","t__SGB10068","DonorB_P2.mp","DonorB_P8.mp",0.00465070459954988
"99","t__SGB10068","DonorB_P2.mp","DonorB_P3.mp",0.00465122506594455
"100","t__SGB10068","DonorB_P2.mp","DonorB_P6.mp",0.015543588356282
"101","t__SGB10068","PMCL719_S304.mp","PMCL741_S314.mp",0.341475713518023
"102","t__SGB10068","PMCL719_S304.mp","PMCL823.mp",0.353046557656905
"103","t__SGB10068","PMCL719_S304.mp","PMCL822.mp",0.353607224086204
"104","t__SGB10068","PMCL719_S304.mp","PMCL813.mp",0.346424754886609
"105","t__SGB10068","PMCL719_S304.mp","PMCL818.mp",0.306496138377875
"106","t__SGB10068","PMCL719_S304.mp","PMCL821_S310.mp",0.297638543356331
"107","t__SGB10068","PMCL719_S304.mp","PMCL820_S309.mp",0.287965235079375
"108","t__SGB10068","PMCL719_S304.mp","PMCL805_S307.mp",0.321248646296519
"109","t__SGB10068","PMCL719_S304.mp","PMCL731_S312.mp",0.283653464932047
"110","t__SGB10068","PMCL657.mp","PMCL719_S304.mp",0.371914441220305
"111","t__SGB10068","PMCL657.mp","PMCL684_S300.mp",0.272558492281998
"112","t__SGB10068","PMCL657.mp","PMCL741_S314.mp",0.280373116672805
"113","t__SGB10068","PMCL657.mp","PMCL823.mp",0.365206771964005
"114","t__SGB10068","PMCL657.mp","PMCL822.mp",0.365767438393304
"115","t__SGB10068","PMCL657.mp","PMCL813.mp",0.358584969193709
"116","t__SGB10068","PMCL657.mp","PMCL818.mp",0.318656352684975
"117","t__SGB10068","PMCL657.mp","PMCL821_S310.mp",0.309798757663431
"118","t__SGB10068","PMCL657.mp","PMCL820_S309.mp",0.300125449386475
"119","t__SGB10068","PMCL657.mp","PMCL805_S307.mp",0.333408860603619
"120","t__SGB10068","PMCL657.mp","PMCL731_S312.mp",0.295813679239147
"121","t__SGB10068","PMCL656.mp","PMCL719_S304.mp",0.371914441220305
"122","t__SGB10068","PMCL656.mp","PMCL657.mp",1.04093278933049e-06
